playername,team,flag_reason,metric,metric_value,last_test_date
PLAYER_907,"Group: Women's Basketball, Team: Stony Brook Women's Basketball",Jump Height < 0.30 m (below performance standard),Jump Height(m),0.207,2025-09-19 14:48:35
PLAYER_908,"Group: WLAX , Group: WLAX Spring '24, Team: SBU WLAX",Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2664,2025-01-18 18:42:10
PLAYER_910,Team: Stony Brook Womens Soccer,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2713,2025-07-14 11:10:11
PLAYER_911,Team: Stony Brook Women's T&F,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2685,2024-11-13 15:48:46
PLAYER_914,Team: Stony Brook Women's Volleyball,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2398,2019-07-17 11:02:04
PLAYER_942,Player Not Found,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.1885,2019-07-17 11:01:47
PLAYER_946,Team: Stony Brook Womens Soccer,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2924,2025-01-27 12:38:11
PLAYER_954,Team: Stony Brook Women's Tennis,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2759,2020-11-12 11:58:24
PLAYER_955,Team: Stony Brook Women's Basketball,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.1796,2025-03-04 21:09:55
PLAYER_957,Team: SBU WLAX,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2532,2025-01-18 18:50:24
PLAYER_960,Team: SBU WLAX,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2985,2025-01-18 18:49:41
PLAYER_961,Team: Stony Brook Womens Soccer,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2586,2025-07-14 12:34:30
PLAYER_962,Team: Stony Brook Swimming and Diving,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2283,2023-12-07 13:33:06
PLAYER_963,"Group: WLAX , Group: WLAX Spring '24, Team: SBU WLAX",Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2972,2025-01-18 18:44:25
PLAYER_970,Team: Stony Brook Women's Volleyball,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2957,2020-11-13 17:13:45
PLAYER_971,Team: Stony Brook Swimming and Diving,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.1966,2023-12-08 17:39:54
PLAYER_979,Team: Stony Brook Womens Soccer,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2493,2019-08-06 10:56:05
PLAYER_979,Team: Stony Brook Womens Soccer,Peak Propulsive Force < 1200 N (below performance standard),Peak Propulsive Force(N),1136.0,2019-08-06 10:56:05
PLAYER_981,"Group: WLAX , Group: WLAX Spring '24, Team: SBU WLAX",Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2367,2024-05-07 16:36:59
PLAYER_983,Team: Stony Brook Swimming and Diving,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2761,2025-10-14 12:50:32
